Department,Number of Courses
AANL,2
AKKD,7
ANTH,129
ARAB,50
ARAM,2
ARCH,57
ARME,6
ARTH,77
ARTV,46
ASLG,8
ASTR,30
BANG,7
BASQ,6
BCSN,10
BIOS,137
BUSN,32
CATA,13
CEGU,14
CHDV,35
CHEM,64
CHIN,57
CLCV,52
CMLT,68
CMSC,85
CMST,72
COGS,19
CRWR,95
CZEC,6
DATA,21
DEMS,15
DIGS,12
EALC,54
ECMA,20
ECON,91
EGPT,7
ENGL,135
ENSC,11
ENST,69
FNDL,54
FREN,78
GEEZ,1
GEOS,29
GISC,5
GLST,48
GNSE,83
GREK,14
GRMN,30
HEBR,9
HIND,12
HIPS,54
HIST,97
HMRT,52
IRHU,7
ITAL,51
JAPN,18
JWSC,32
KAZK,3
KORE,18
LACS,46
LATN,18
LING,28
LLSO,29
MAAD,49
MACS,16
MAPS,1
MARA,12
MATH,61
MDVL,31
MENG,56
MOGK,7
MUSI,66
NEAA,10
NEHC,40
NELG,3
NORW,7
NSCI,31
PBPL,50
PERS,7
PHIL,33
PHYS,28
PLSC,50
POLI,8
PORT,12
PPHA,1
PSYC,28
RDIN,10
REES,32
RLST,75
RUSS,14
SALC,36
SANS,6
SCPD,7
SOCI,27
SPAN,51
SSAD,14
STAT,38
SUMR,8
SWAH,6
TAML,6
TAPS,42
TBTN,6
TURK,17
URDU,6
UZBK,2
